001060303                                         ,提供伪造、变造的出入境证件罪                                    ,1
001060304                                         ,出售出入境证件罪                                          ,1
001060305                                         ,运送他人偷越国（边）境罪                                      ,1
001060306                                         ,偷越国（边）境罪                                          ,1
001060307                                         ,破坏界碑、界桩罪                                          ,1
001060308                                         ,破坏永久性测量标志罪                                        ,1
0010604                                           ,妨害文物管理罪                                           ,0
001060401                                         ,故意损毁文物罪                                           ,1
001060402                                         ,故意损毁名胜古迹罪                                         ,1
001060403                                         ,过失损毁文物罪                                           ,1
001060404                                         ,非法向外国人出售、赠送珍贵文物罪                                  ,1
001060405                                         ,倒卖文物罪                                             ,1
001060406                                         ,非法出售、私赠文物藏品罪                                      ,1
001060407                                         ,盗掘古文化遗址、古墓葬罪                                      ,1
001060408                                         ,盗掘古人类化石、古脊椎动物化石罪                                  ,1
001060409                                         ,抢夺、窃取国有档案罪                                        ,1
001060410                                         ,擅自出卖、转让国有档案罪                                      ,1
0010605                                           ,危害公共卫生罪                                           ,0
001060501                                         ,妨害传染病防治罪                                          ,1
001060502                                         ,传染病菌种、毒种扩散罪                                       ,1
001060503                                         ,妨害国境卫生检疫罪                                         ,1
001060504                                         ,非法组织卖血罪                                           ,1
001060505                                         ,强迫卖血罪                                             ,1
001060506                                         ,非法采集、供应血液、制作、供应血液制品罪                              ,1
001060507                                         ,采集、供应血液、制作、供应血液制品事故罪                              ,1
001060508                                         ,医疗事故罪                                             ,1
001060509                                         ,非法行医罪                                             ,1
001060510                                         ,非法进行节育手术罪                                         ,1
001060511                                         ,逃避动植物检疫罪                                          ,1
001060512                                         ,妨害动植物防疫、检疫罪                                       ,1
0010606                                           ,破坏环境资源保护罪                                         ,0
001060601                                         ,重大环境污染事故罪                                         ,1
001060602                                         ,非法处置进口的固体废物罪                                      ,1
001060603                                         ,擅自进口固体废物罪                                         ,1
001060604                                         ,非法捕捞水产品罪                                          ,1
001060605                                         ,非法猎捕、杀害珍贵、濒危野生动物罪                                 ,1
001060606                                         ,非法收购、运输、出售珍贵、濒危野生动物、珍贵、濒危野生动物制品罪                  ,1
001060607                                         ,非法狩猎罪                                             ,1
001060608                                         ,非法占用农用地罪                                          ,1
001060609                                         ,非法采矿罪                                             ,1
001060610                                         ,破坏性采矿罪                                            ,1
001060611                                         ,非法采伐、毁坏国家重点保护植物罪                                  ,1
001060612                                         ,非法收购、运输、加工、出售国家重点保护植物、国家重点保护植物制品罪                 ,1
001060613                                         ,盗伐林木罪                                             ,1
001060614                                         ,滥伐林木罪                                             ,1
